37.209.196.0/24       AS397240      SECURITYSERVICES, US
                      AS397239      SECURITYSERVICES, US
37.209.198.0/24       AS397241      SECURITYSERVICES, US
                      AS397239      SECURITYSERVICES, US
38.110.79.0/24        AS230105      --No Registry Entry--
                      AS23015       CMC180-TOR-AS, CA
38.123.151.0/24       AS18101       RELIANCE-COMMUNICATIONS-IN Reliance Communications Ltd.DAKC MUMBAI, IN
                      AS33480       WEBWERKSAS1, US
38.126.196.0/24       AS3           MIT-GATEWAYS, US
                      AS35978       KINETIC-1-2009, US
38.128.196.0/24       AS14265       US-TELEPACIFIC, US
                      AS13545       MICM, US
38.207.142.0/24       AS51847       NEAROUTE, HK
                      AS149767      XHOSTS-AS-AP NEAROUTE LIMITED, HK
38.207.143.0/24       AS149767      XHOSTS-AS-AP NEAROUTE LIMITED, HK
                      AS51847       NEAROUTE, HK
41.74.203.0/24        AS30031       MIMECAST-, US
                      AS136792      MIMECAST-AS-AP Mimecast Australia Pty Ltd, AU
41.79.232.0/24        AS37677       SCPT, CD
                      AS6           BULL-HN, US
41.79.233.0/24        AS37677       SCPT, CD
                      AS6           BULL-HN, US
41.79.235.0/24        AS37677       SCPT, CD
                      AS6           BULL-HN, US
41.138.208.0/22       AS327783      SMILE-COMMUNICATION, ZA
                      AS37122       SMILE-, UG
41.190.88.0/22        AS37140       zain-as, GH
                      AS37030       Airtel-Ghana, GH
41.215.160.0/21       AS37030       Airtel-Ghana, GH
                      AS37140       zain-as, GH
41.215.168.0/21       AS37030       Airtel-Ghana, GH
                      AS37140       zain-as, GH
41.216.190.0/24       AS208102      SRVCORE Anti-DDoS SERVICE, RU
                      AS327980      FASTHOSTING, ZA
42.83.133.0/24        AS24151       CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
                      AS24406       CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
43.224.244.0/22       AS63915       XIAOMIHKLIMITED-HK FLATRM C 21F CMA BUILDING 64 CONNAUGHT ROAD CENTRAL, HK
                      AS63855       XIAOMIHKLIMITED-AS XIAOMI H.K. Limited, HK
43.227.140.0/22       AS63614       QISHANGONLINE A4, 5th Floor, Tower C, Triumph Plaza, Unit A, No 143, CN
                      AS4847        CNIX-AP China Networks Inter-Exchange, CN
43.230.8.0/24         AS137451      TELECOM-AS-AP Hong Kong Business Telecom Limited, HK
                      AS64021       NETWORK-TRANSIT Network-Transit, CN
43.230.48.0/24        AS43519       NOMINETANYCAST, GB
                      AS137502      NOMINET-AS-AP NOMINET UK, GB
43.230.49.0/24        AS43519       NOMINETANYCAST, GB
                      AS137502      NOMINET-AS-AP NOMINET UK, GB
43.230.50.0/24        AS43519       NOMINETANYCAST, GB
                      AS137502      NOMINET-AS-AP NOMINET UK, GB
43.230.51.0/24        AS43519       NOMINETANYCAST, GB
                      AS137502      NOMINET-AS-AP NOMINET UK, GB
43.231.160.0/24       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.231.161.0/24       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.231.162.0/24       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.231.163.0/24       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.231.167.0/24       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.231.168.0/24       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.231.169.0/24       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.231.170.0/24       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.240.126.0/23       AS138421      CU-CN-AS China Unicom, CN
                      AS4811        CHINANET-SHANGHAI-MAN China Telecom Group, CN
43.240.136.0/22       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.240.192.0/22       AS138421      CU-CN-AS China Unicom, CN
                      AS4811        CHINANET-SHANGHAI-MAN China Telecom Group, CN
43.240.196.0/22       AS138421      CU-CN-AS China Unicom, CN
                      AS4811        CHINANET-SHANGHAI-MAN China Telecom Group, CN
43.243.12.0/22        AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS4847        CNIX-AP China Networks Inter-Exchange, CN
43.245.144.0/22       AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
43.245.220.0/22       AS55799       IPTELECOM-AP IPTELECOM ASIA, MY
                      AS63916       IPTELECOM-AS-AP IPTELECOM Global, HK
43.247.100.0/24       AS9929        CUII CHINA UNICOM Industrial Internet Backbone, CN
                      AS4812        CHINANET-SH-AP China Telecom Group, CN
43.247.101.0/24       AS9929        CUII CHINA UNICOM Industrial Internet Backbone, CN
                      AS4812        CHINANET-SH-AP China Telecom Group, CN
43.247.184.0/22       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.247.188.0/22       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
43.252.208.0/24       AS137451      TELECOM-AS-AP Hong Kong Business Telecom Limited, HK
                      AS64021       NETWORK-TRANSIT Network-Transit, CN
43.252.211.0/24       AS137451      TELECOM-AS-AP Hong Kong Business Telecom Limited, HK
                      AS64021       NETWORK-TRANSIT Network-Transit, CN
43.254.44.0/23        AS138421      CU-CN-AS China Unicom, CN
                      AS4811        CHINANET-SHANGHAI-MAN China Telecom Group, CN
43.254.46.0/23        AS138421      CU-CN-AS China Unicom, CN
                      AS4811        CHINANET-SHANGHAI-MAN China Telecom Group, CN
43.255.37.0/24        AS137451      TELECOM-AS-AP Hong Kong Business Telecom Limited, HK
                      AS64021       NETWORK-TRANSIT Network-Transit, CN
43.255.117.0/24       AS137451      TELECOM-AS-AP Hong Kong Business Telecom Limited, HK
                      AS64021       NETWORK-TRANSIT Network-Transit, CN
44.16.10.0/24         AS50131       SPARTANHOST, GB
                      AS201106      SPARTANHOST, GB
44.24.135.0/24        AS50131       SPARTANHOST, GB
                      AS201106      SPARTANHOST, GB
44.31.83.0/24         AS50131       SPARTANHOST, GB
                      AS201106      SPARTANHOST, GB
44.31.104.0/24        AS50131       SPARTANHOST, GB
                      AS201106      SPARTANHOST, GB
44.31.191.0/24        AS50131       SPARTANHOST, GB
                      AS201106      SPARTANHOST, GB
44.31.192.0/24        AS50131       SPARTANHOST, GB
                      AS201106      SPARTANHOST, GB
45.7.34.0/24          AS266532      MARGOTTO TELECOMUNICACOES SA, BR
                      AS266597      JCNET PROVEDOR DE INTERNET LTDA, BR
45.43.30.0/24         AS50131       SPARTANHOST, GB
                      AS201106      SPARTANHOST, GB
45.62.132.0/24        AS31882       ABS-AS1, US
                      AS15265       PREVARE-LLC-BEVERLY-MA, US
45.62.133.0/24        AS31882       ABS-AS1, US
                      AS15265       PREVARE-LLC-BEVERLY-MA, US
45.70.12.0/24         AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.70.14.0/24         AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.70.15.0/24         AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.70.196.0/22        AS52468       UFINET PANAMA S.A., PA
